#,Title,URL,State,Labels,# of Labels,Assignees,# of Assignees,# of Comments,Closed at,Created at,Locked
1976,Ninja couldn't rerun on Windows 10,https://github.com/ninja-build/ninja/issues/1976,open,"[Label(name=""windows""), Label(name=""bug"")]",2,[],0,1,,2021-06-02 11:20:00,False
1975,Regeneration of build.ninja on errors in build.ninja,https://github.com/ninja-build/ninja/issues/1975,open,[],0,[],0,0,,2021-06-02 08:46:53,False
1974,ninja: bad depfile: multiple outputs under Alpine Linux ,https://github.com/ninja-build/ninja/issues/1974,closed,[],0,[],0,1,2022-02-23 11:30:45,2021-05-26 19:44:36,False
1972,ninja 1.10.2 restat problem,https://github.com/ninja-build/ninja/issues/1972,open,[],0,[],0,3,,2021-05-19 17:18:31,False
1971,Assertion failed,https://github.com/ninja-build/ninja/issues/1971,open,"[Label(name=""windows""), Label(name=""bug"")]",2,[],0,1,,2021-05-17 16:08:25,False
1967,Indirect variable expansion,https://github.com/ninja-build/ninja/issues/1967,open,[],0,[],0,0,,2021-05-05 20:20:42,False
1966,Using a rule variable twice in command is considered as a cycle,https://github.com/ninja-build/ninja/issues/1966,open,"[Label(name=""bug"")]",1,[],0,0,,2021-05-05 18:47:51,False
1965,Wrong path resolution in Windows,https://github.com/ninja-build/ninja/issues/1965,closed,[],0,[],0,1,2021-05-04 22:27:30,2021-05-04 17:56:55,False
1962,Spurious error parsing depfiles: inputs may not also have inputs?,https://github.com/ninja-build/ninja/issues/1962,open,[],0,[],0,1,,2021-04-23 16:46:04,False
1961,Concatenating process does not finish properly,https://github.com/ninja-build/ninja/issues/1961,open,[],0,[],0,0,,2021-04-23 07:37:51,False
1960,no output when invoking powershell command,https://github.com/ninja-build/ninja/issues/1960,closed,[],0,[],0,0,2021-04-22 17:43:36,2021-04-22 17:40:26,False
1959,Changing case to -f parameter causes no regeneration for CMake projects on macOS,https://github.com/ninja-build/ninja/issues/1959,open,"[Label(name=""bug"")]",1,[],0,1,,2021-04-19 14:04:16,False
1957,ninja building inside docker,https://github.com/ninja-build/ninja/issues/1957,closed,[],0,[],0,0,2021-04-19 09:51:21,2021-04-18 16:25:04,False
1954,Fully suppress ninja status when NINJA_STATUS is the empty string,https://github.com/ninja-build/ninja/issues/1954,closed,"[Label(name=""frontend"")]",1,[],0,3,2021-05-08 17:40:39,2021-04-16 17:12:15,False
1952,Bug: Ninja CleanDead tool remove non-dead dynamic outputs,https://github.com/ninja-build/ninja/issues/1952,open,"[Label(name=""bug"")]",1,[],0,1,,2021-04-15 09:12:36,False
1950,heck if nina,https://github.com/ninja-build/ninja/issues/1950,closed,[],0,[],0,0,2021-04-13 21:01:14,2021-04-13 21:01:02,False
1948,ninja: command not found after build by cmake ,https://github.com/ninja-build/ninja/issues/1948,closed,[],0,[],0,3,2021-04-07 16:04:27,2021-04-07 11:32:42,False
